date,mmsi,lat,lon,fishing_hours
2019-04-30,247145290,36.8,15.2,3.6775
2019-04-30,247144130,37.3,15.1,0.0
2019-04-30,247143860,37.3,12.5,0.0
2019-04-30,247147480,36.0,13.3,0.0
2019-04-30,247123920,38.0,12.2,0.0
2019-04-30,247123920,38.0,12.1,0.0
2019-04-30,247140810,38.0,12.3,0.7966
2019-04-30,247140810,38.0,12.4,0.0
2019-04-30,247140920,38.0,12.3,1.375
2019-04-30,247140920,38.0,12.4,0.0
2019-04-30,247140920,38.0,12.2,5.7641
2019-04-30,247141170,38.0,15.4,0.0
2019-04-30,247141170,38.0,15.5,0.0
2019-04-30,247141190,38.0,13.8,1.4388
2019-04-30,247141190,38.0,13.5,0.0
2019-04-30,247141190,38.0,13.7,3.3697
2019-04-30,247141190,38.0,13.6,5.025
2019-04-30,247141550,38.0,12.4,0.0
2019-04-30,247141690,38.0,12.4,0.7922
2019-04-30,247141690,38.0,12.5,0.8497
2019-04-30,247141690,38.0,12.2,0.0
2019-04-30,247141690,38.0,12.3,0.0
2019-04-30,247142290,38.0,12.4,2.8
2019-04-30,247142290,38.0,12.3,2.0663
2019-04-30,247142440,38.0,12.8,0.0
2019-04-30,247142510,38.0,12.1,10.4558
2019-04-30,247142510,38.0,12.4,0.0
2019-04-30,247142510,38.0,12.3,0.0
2019-04-30,247142510,38.0,12.2,3.4638
2019-04-30,247143020,38.0,13.5,0.0
2019-04-30,247143040,38.0,13.5,0.0
2019-04-30,247143150,38.0,13.5,0.0
2019-04-30,247143150,38.0,13.6,0.0
2019-04-30,247143150,38.0,13.7,0.0
2019-04-30,247143160,38.0,13.5,0.0
2019-04-30,247143760,38.0,13.7,0.0
2019-04-30,247143760,38.0,13.8,0.0
2019-04-30,247143760,38.0,13.5,0.0
2019-04-30,247143760,38.0,13.6,0.7222
2019-04-30,247143760,38.0,13.9,2.133
2019-04-30,247143780,38.0,13.5,0.0
2019-04-30,247143810,38.0,12.0,0.0
2019-04-30,247144560,38.0,13.5,0.4972
2019-04-30,247145120,38.0,13.5,0.0
2019-04-30,247146190,38.0,12.4,0.0
2019-04-30,247146190,38.0,12.2,0.0
2019-04-30,247146190,38.0,12.3,0.0
2019-04-30,247146650,38.0,12.9,0.0
2019-04-30,247146650,38.0,12.8,0.0
2019-04-30,247147350,38.0,12.4,0.0
2019-04-30,247147350,38.0,12.5,0.0
2019-04-30,247147350,38.0,13.8,0.0
2019-04-30,247147350,38.0,13.9,0.0
2019-04-30,247148620,38.0,12.1,0.0
2019-04-30,247148620,38.0,12.2,0.0
2019-04-30,247148660,38.0,13.5,0.0
2019-04-30,247148880,38.0,14.0,0.0
2019-04-30,247148880,38.0,14.3,0.0
2019-04-30,247154490,38.0,15.5,0.0
2019-04-30,247280830,38.0,13.5,0.0
2019-04-30,247280830,38.0,13.7,0.0
2019-04-30,247280830,38.0,13.6,0.0
2019-04-30,247280830,38.0,13.8,0.0
2019-04-30,247280830,38.0,13.9,2.325
2019-04-30,247300320,38.0,14.0,0.0
2019-04-30,247300320,38.0,13.8,0.0
2019-04-30,247300320,38.0,13.9,0.0
2019-04-30,247300320,38.0,14.3,0.0
2019-04-30,247300320,38.0,13.7,0.0
2019-04-30,247302510,38.0,12.8,0.0
2019-04-30,247303340,38.0,12.8,0.0
2019-04-30,247303340,38.0,12.9,0.0
2019-04-30,247308540,38.0,12.0,2.8975
2019-04-30,247308540,38.0,12.1,1.2277
2019-04-30,247101550,36.5,15.1,0.0
2019-04-30,247132860,36.5,12.0,7.3227
2019-04-30,247132860,36.5,11.9,6.3008
2019-04-30,247132860,36.5,12.1,0.8633
2019-04-30,247143310,36.5,13.5,0.0
2019-04-30,247145080,36.5,15.2,1.8141
2019-04-30,247145080,36.5,15.1,3.8138
2019-04-30,247145870,36.5,14.3,4.5422
2019-04-30,247146970,36.5,12.1,0.6194
2019-04-30,247146970,36.5,12.0,2.2972
2019-04-30,247146970,36.5,11.9,4.9758
2019-04-30,247146970,36.5,11.8,1.8722
2019-04-30,247147480,36.5,12.9,0.0
