date,mmsi,lat,lon,fishing_hours
2018-01-31,247030820,37.3,13.1,0.0
2018-01-31,247100440,36.0,11.8,0.5525
2018-01-31,247100440,36.0,11.7,0.6
2018-01-31,247120440,36.0,12.1,8.0775
2018-01-31,247120440,36.0,12.0,1.8805
2018-01-31,247143860,36.0,12.1,2.3616
2018-01-31,247143860,36.0,12.2,3.3972
2018-01-31,247144230,36.0,12.1,0.2805
2018-01-31,247144230,36.0,12.0,2.375
2018-01-31,247145250,36.0,12.2,2.4558
2018-01-31,247145250,36.0,11.9,2.6747
2018-01-31,247145250,36.0,12.0,5.0663
2018-01-31,247145250,36.0,12.1,5.2305
2018-01-31,247145250,36.0,11.8,3.1947
2018-01-31,247146970,36.0,12.0,0.2638
2018-01-31,247147010,36.0,11.7,0.2833
2018-01-31,247147010,36.0,11.8,0.845
2018-01-31,247149980,36.0,12.7,2.1277
2018-01-31,247149980,36.0,12.6,0.9997
2018-01-31,247150170,36.0,15.2,13.2752
2018-01-31,247151670,36.0,11.7,0.2805
2018-01-31,247151670,36.0,11.9,0.8611
2018-01-31,247151670,36.0,11.8,2.0194
2018-01-31,247301060,36.0,15.4,4.7469
2018-01-31,247140920,38.0,12.4,0.0
2018-01-31,247141890,38.0,13.5,0.0
2018-01-31,247143050,38.0,14.0,1.1361
2018-01-31,247143050,38.0,13.9,0.5861
2018-01-31,247143160,38.0,13.5,0.0
2018-01-31,247143780,38.0,13.7,0.0861
2018-01-31,247143780,38.0,13.5,0.0
2018-01-31,247143780,38.0,13.6,2.0591
2018-01-31,247144560,38.0,13.5,0.0
2018-01-31,247147340,38.0,13.5,0.0
2018-01-31,247148660,38.0,13.5,0.0
2018-01-31,247148660,38.0,13.7,1.3061
2018-01-31,247148660,38.0,13.6,8.4799
2018-01-31,247148670,38.0,13.7,0.3252
2018-01-31,247148670,38.0,13.5,0.0
2018-01-31,247148670,38.0,13.6,1.4305
2018-01-31,247300240,38.0,13.5,0.0
2018-01-31,247300240,38.0,13.6,2.5688
2018-01-31,247300240,38.0,13.7,0.5441
2018-01-31,247303340,38.0,12.4,0.0
2018-01-31,247050970,36.5,12.9,0.0
2018-01-31,247061710,36.5,15.1,1.233
2018-01-31,247092740,36.5,12.8,0.0
2018-01-31,247140450,36.5,15.1,0.0
2018-01-31,247142020,36.5,15.1,0.0
2018-01-31,247142580,36.5,12.1,2.1441
2018-01-31,247142580,36.5,12.0,8.2608
2018-01-31,247142580,36.5,11.9,4.9833
2018-01-31,247143230,36.5,11.5,0.0
2018-01-31,247144290,36.5,15.1,10.9855
2018-01-31,247144390,36.5,12.2,0.0
2018-01-31,247144390,36.5,12.3,0.0
2018-01-31,247144760,36.5,15.1,0.0
2018-01-31,247145580,36.5,15.1,1.9941
2018-01-31,247145870,36.5,14.3,6.1641
2018-01-31,247146130,36.5,12.5,0.0
2018-01-31,247147370,36.5,11.9,0.9138
2018-01-31,247147370,36.5,12.0,0.2802
2018-01-31,247149190,36.5,14.3,3.7055
2018-01-31,247149270,36.5,15.1,0.0
2018-01-31,247149270,36.5,15.2,5.8058
2018-01-31,247149280,36.5,14.3,2.58
2018-01-31,247149280,36.5,14.4,1.6858
2018-01-31,247150170,36.5,15.2,0.0
2018-01-31,247300430,36.5,15.1,0.0
2018-01-31,247300580,36.5,15.1,9.3897
2018-01-31,247300760,36.5,15.1,8.9605
2018-01-31,247300930,36.5,15.3,3.0083
2018-01-31,247300930,36.5,15.2,3.4783
2018-01-31,247301060,36.5,15.1,0.0
2018-01-31,247305470,36.5,15.1,1.4224
2018-01-31,247132860,35.0,12.7,0.0
2018-01-31,247142860,35.0,12.7,0.0
2018-01-31,247145820,35.0,12.9,0.0
2018-01-31,247300480,35.0,12.9,17.7252
2018-01-31,247050970,37.0,12.9,0.0
2018-01-31,247050970,37.0,12.8,1.1416
2018-01-31,247067620,37.0,13.9,0.0
2018-01-31,247083460,37.0,12.1,0.8361
2018-01-31,247083460,37.0,12.2,1.3941
2018-01-31,247083460,37.0,12.3,0.6722
2018-01-31,247092740,37.0,12.8,1.2997
2018-01-31,247092740,37.0,12.9,0.9219
2018-01-31,247092740,37.0,13.0,5.0891
2018-01-31,247092740,37.0,12.7,3.2308
2018-01-31,247140330,37.0,13.1,6.8055
2018-01-31,247140340,37.0,12.3,3.5222
2018-01-31,247140370,37.0,12.1,2.2311
2018-01-31,247140370,37.0,12.3,0.7075
2018-01-31,247140370,37.0,12.2,2.3561
2018-01-31,247141730,37.0,12.7,4.8613
2018-01-31,247141730,37.0,12.8,0.7572
2018-01-31,247142510,37.0,11.9,0.0
2018-01-31,247142510,37.0,12.0,0.0
2018-01-31,247142610,37.0,12.7,4.1502
2018-01-31,247142610,37.0,12.8,3.3525
2018-01-31,247142960,37.0,13.9,0.0
2018-01-31,247143120,37.0,12.4,1.3497
2018-01-31,247143120,37.0,12.3,0.7997
2018-01-31,247143320,37.0,12.5,0.0
2018-01-31,247143320,37.0,12.3,1.103
