date,mmsi,lat,lon,fishing_hours
2020-04-30,247147310,36.8,12.4,0.7791
2020-04-30,247143860,36.0,12.2,6.2597
2020-04-30,247143860,36.0,12.1,0.9611
2020-04-30,247305540,37.6,12.5,0.0
2020-04-30,247147480,37.6,12.5,0.0
2020-04-30,247147230,37.6,12.5,0.0
2020-04-30,247146830,37.6,12.1,0.0
2020-04-30,247146120,37.6,12.0,0.0
2020-04-30,247146120,37.6,11.8,0.0
2020-04-30,247146120,37.6,11.9,0.0
2020-04-30,247146120,37.6,12.1,0.0
2020-04-30,247146120,37.6,12.3,0.0
2020-04-30,247146120,37.6,12.4,0.0
2020-04-30,247146120,37.6,12.2,0.0
2020-04-30,247146120,37.6,12.5,0.0
2020-04-30,247080210,37.6,12.5,0.0
2020-04-30,247306530,37.1,13.0,0.383
2020-04-30,247306530,37.1,12.9,12.7922
2020-04-30,247147310,37.1,12.1,3.3027
2020-04-30,247147120,37.1,15.3,1.8747
2020-04-30,247145360,37.1,13.0,0.0
2020-04-30,247143620,37.1,12.1,0.0
2020-04-30,247143580,37.1,11.7,1.1194
2020-04-30,247121090,37.1,12.1,1.6086
2020-04-30,247121090,37.1,12.4,0.8805
2020-04-30,247121090,37.1,12.0,0.3225
2020-04-30,247121090,37.1,12.3,0.3225
2020-04-30,247053680,37.1,12.1,0.3469
2020-04-30,247302380,35.1,12.8,1.5461
2020-04-30,247302380,35.1,12.9,1.7536
2020-04-30,247148210,35.1,14.4,0.2888
2020-04-30,247305470,36.6,15.1,0.0
2020-04-30,247304980,36.6,15.1,0.0
2020-04-30,247302720,36.6,14.8,0.0
2020-04-30,247302720,36.6,14.9,0.0
2020-04-30,247302720,36.6,14.5,0.0
2020-04-30,247302720,36.6,14.7,0.0
2020-04-30,247302720,36.6,14.6,0.0
2020-04-30,247301120,36.6,15.1,0.0
2020-04-30,247300930,36.6,15.1,0.0
2020-04-30,247300580,36.6,15.1,0.0
2020-04-30,247300430,36.6,15.1,0.0
2020-04-30,247150170,36.6,15.1,0.0
