msg_type,mmsi,ship_name,meta_lat,meta_lon,time_utc,cog,comm_state,latitude,longitude,message_id,nav_status,pos_accuracy,raim,rot,repeat_ind,sog,spare,manoeuvre_ind,timestamp,heading,user_id,is_valid
PositionReport,247234700,ACRUX               ,38.21694,15.24812,2026-03-22 12:35:46.853301692 +0000 UTC,92.8,34522,38.216935,15.248123333333332,1,0,True,False,-128,0,0,0,0,46,511,247234700,True
PositionReport,238101840,STAR                ,38.21926,15.63138,2026-03-22 12:35:48.216089503 +0000 UTC,320.6,6944,38.21926,15.63138,3,0,True,False,-127,0,13.4,0,0,47,309,238101840,True
PositionReport,258107000,OLYMPIC DELTA       ,38.01279,12.51929,2026-03-22 12:35:54.497534506 +0000 UTC,325.4,85834,38.01279,12.519286666666666,3,5,False,False,0,0,0,2,0,55,68,258107000,True
PositionReport,247447600,FERDINANDO MORACE   ,38.21582,15.24642,2026-03-22 12:35:55.047586288 +0000 UTC,128.1,80845,38.21581666666667,15.24642,3,0,True,False,0,0,6.4,0,0,54,132,247447600,True
PositionReport,247320500,MARCO M             ,38.21708,15.24185,2026-03-22 12:35:55.385592521 +0000 UTC,160.9,2184,38.21707666666667,15.24185,1,0,True,False,0,0,0.1,0,0,53,251,247320500,True
PositionReport,238481940,INKA,38.01522,12.49889,2026-03-22 12:36:06.359316187 +0000 UTC,360,33004,38.01522,12.498893333333333,1,0,True,True,-9,0,0,0,0,6,511,238481940,True
PositionReport,247003700,PAOLO VERONESE,38.01331,12.50652,2026-03-22 12:36:11.481212447 +0000 UTC,3,80570,38.013313333333336,12.506516666666666,3,5,True,True,0,0,0,0,0,10,184,247003700,True
PositionReport,249596000,CLIO                ,38.01345,12.50763,2026-03-22 12:36:13.017618817 +0000 UTC,254.5,84938,38.01345333333334,12.50763,3,5,True,False,0,0,0,0,0,12,21,249596000,True
PositionReport,247447600,FERDINANDO MORACE   ,38.21515,15.24775,2026-03-22 12:36:36.943344584 +0000 UTC,120.8,81965,38.21514833333333,15.247751666666666,1,0,True,False,-127,0,6.4,0,0,36,121,247447600,True
PositionReport,247387500,CARMEN M,38.0133,12.51081,2026-03-22 12:36:38.357035004 +0000 UTC,194,66970,38.013295,12.51081,1,0,True,False,0,0,0,0,0,35,45,247387500,True
PositionReport,247265400,CITTA' DI MILAZZO,38.217,15.24768,2026-03-22 12:36:44.365556551 +0000 UTC,116,2269,38.217,15.247683333333333,1,0,False,False,-128,0,0,0,0,42,511,247265400,True
PositionReport,247447400,DANIELA MORACE      ,38.21826,15.24129,2026-03-22 12:36:46.332076426 +0000 UTC,283,34502,38.218264999999995,15.24129,1,0,True,False,-128,0,0,0,0,44,511,247447400,True
PositionReport,238101840,STAR                ,38.21939,15.62254,2026-03-22 12:36:55.976305844 +0000 UTC,268,2433,38.21939166666667,15.622543333333335,3,0,True,False,127,0,28.1,0,0,54,265,238101840,True
PositionReport,247428800,SAN VITALE          ,38.21726,15.2472,2026-03-22 12:37:00.022887921 +0000 UTC,17.8,35015,38.217265,15.2472,1,0,False,False,0,0,0,0,0,58,134,247428800,True
PositionReport,247320500,MARCO M             ,38.21707,15.24185,2026-03-22 12:37:04.935014242 +0000 UTC,161.6,81968,38.21706666666667,15.241853333333333,1,0,True,False,0,0,0.1,0,0,3,251,247320500,True
PositionReport,238481940,INKA,38.01522,12.49888,2026-03-22 12:37:06.430805326 +0000 UTC,360,22676,38.01521666666667,12.498876666666666,1,0,True,True,6,0,0,0,0,6,511,238481940,True
PositionReport,244730000,SCHELDEGRACHT       ,38.06,15.60469,2026-03-22 12:37:18.670016671 +0000 UTC,4.2,22676,38.059995,15.604693333333334,1,0,True,True,3,0,14,0,0,60,3,244730000,True
PositionReport,247234700,ACRUX               ,38.21693,15.24813,2026-03-22 12:37:26.520719671 +0000 UTC,92.8,66527,38.21692666666667,15.248133333333334,1,0,True,False,-128,0,0,0,0,26,511,247234700,True
PositionReport,311015300,CHRYSANTHEMUM       ,38.23203,15.323,2026-03-22 12:37:29.678331718 +0000 UTC,302,0,38.23203,15.323003333333332,3,1,True,False,0,0,0.1,0,0,29,24,311015300,True
PositionReport,247536000,MARE JONIO          ,38.01138,12.51943,2026-03-22 12:37:30.929704559 +0000 UTC,149.7,84794,38.01138,12.519433333333334,3,5,False,False,0,0,0,0,0,29,183,247536000,True
PositionReport,247443700,NEREA               ,38.21551,15.24493,2026-03-22 12:37:31.301206594 +0000 UTC,214.1,84938,38.215514999999996,15.244926666666666,3,5,True,False,0,0,0,0,0,31,75,247443700,True
PositionReport,247342000,LAURANA             ,38.21634,15.24298,2026-03-22 12:37:32.670304233 +0000 UTC,167,84938,38.21633833333333,15.242983333333333,3,5,True,False,0,0,0,0,0,32,319,247342000,True
PositionReport,247387500,CARMEN M,38.0133,12.51082,2026-03-22 12:37:38.346505281 +0000 UTC,194,49213,38.01329666666666,12.510816666666667,1,0,True,False,0,0,0,0,0,35,46,247387500,True
PositionReport,247452900,PELLEGRON           ,38.01049,12.50831,2026-03-22 12:37:44.321713273 +0000 UTC,0,83994,38.01049166666667,12.508305,3,5,False,False,0,0,0,0,0,42,306,247452900,True
PositionReport,247447400,DANIELA MORACE      ,38.21827,15.2413,2026-03-22 12:37:46.319740927 +0000 UTC,283,22676,38.218266666666665,15.241295000000001,1,0,True,False,-128,0,0,0,0,42,511,247447400,True
PositionReport,247000300,PIETRO NOVELLI,38.01042,12.5098,2026-03-22 12:37:50.72328228 +0000 UTC,114.6,91114,38.010419999999996,12.509801666666668,3,5,True,False,0,0,0,0,0,50,322,247000300,True
PositionReport,247489400,CLAUDIA MORACE      ,38.19197,15.61869,2026-03-22 12:37:55.024731204 +0000 UTC,358.7,81966,38.19197,15.618686666666667,1,0,True,False,0,0,27.7,0,0,54,355,247489400,True
PositionReport,247447600,FERDINANDO MORACE   ,38.21519,15.25137,2026-03-22 12:37:59.121625547 +0000 UTC,74.9,0,38.21519333333333,15.251366666666666,3,0,True,False,127,0,10.1,0,0,58,84,247447600,True
PositionReport,247003800,SIMONE MARTINI      ,38.01019,12.50874,2026-03-22 12:38:02.925179256 +0000 UTC,250.5,84954,38.01019333333333,12.50874,3,5,True,False,0,0,0,0,0,1,313,247003800,True
PositionReport,238481940,INKA,38.01525,12.49887,2026-03-22 12:38:06.427720831 +0000 UTC,360,2316,38.015245,12.498871666666668,1,0,True,True,4,0,0,0,0,6,511,238481940,True
PositionReport,247447600,FERDINANDO MORACE   ,38.21528,15.25187,2026-03-22 12:38:06.461529197 +0000 UTC,76.3,49198,38.21528333333333,15.251868333333334,1,0,True,False,0,0,10.5,0,0,6,85,247447600,True
PositionReport,238101840,STAR                ,38.21915,15.60917,2026-03-22 12:38:16.188638573 +0000 UTC,269.8,49240,38.21915,15.609168333333335,1,0,True,False,-127,0,28.2,0,0,15,269,238101840,True
PositionReport,247234700,ACRUX               ,38.21692,15.24813,2026-03-22 12:38:26.522227635 +0000 UTC,92.8,49206,38.216919999999995,15.248131666666666,1,0,True,False,-128,0,0,0,0,25,511,247234700,True
PositionReport,247387500,CARMEN M,38.0133,12.51083,2026-03-22 12:38:38.336879488 +0000 UTC,194,34202,38.01329666666666,12.51083,1,0,True,False,0,0,0,0,0,35,46,247387500,True
PositionReport,247447400,DANIELA MORACE      ,38.21826,15.24129,2026-03-22 12:38:46.310987441 +0000 UTC,283,2231,38.218264999999995,15.241293333333335,1,0,True,False,-128,0,0,0,0,44,511,247447400,True
PositionReport,258107000,OLYMPIC DELTA       ,38.01278,12.51926,2026-03-22 12:38:55.153227119 +0000 UTC,325.4,84522,38.01278,12.519261666666667,3,5,False,False,0,0,0,2,0,55,68,258107000,True
PositionReport,247270600,DIVINA              ,38.36461,15.45902,2026-03-22 12:38:55.609624017 +0000 UTC,83,114754,38.36461,15.459014999999999,1,0,True,False,-5,0,12.5,0,0,55,88,247270600,True
PositionReport,247447600,FERDINANDO MORACE   ,38.2169,15.25786,2026-03-22 12:39:00.276180136 +0000 UTC,66.3,2289,38.216895,15.257856666666667,3,0,True,False,-127,0,24.8,0,0,0,70,247447600,True
PositionReport,247447600,FERDINANDO MORACE   ,38.21727,15.25872,2026-03-22 12:39:06.555056742 +0000 UTC,63.4,0,38.21727,15.258721666666666,1,0,True,False,-127,0,26,0,0,6,66,247447600,True
PositionReport,238481940,INKA,38.01525,12.49887,2026-03-22 12:39:08.119561473 +0000 UTC,360,81932,38.01525,12.498873333333334,1,0,True,True,-6,0,0,0,0,7,511,238481940,True
PositionReport,247003700,PAOLO VERONESE,38.01333,12.50652,2026-03-22 12:39:11.615315456 +0000 UTC,3,85962,38.013333333333335,12.506518333333334,3,5,True,True,0,0,0,0,0,10,184,247003700,True
PositionReport,249596000,CLIO                ,38.01346,12.50763,2026-03-22 12:39:12.983146869 +0000 UTC,254.5,84938,38.013455,12.507626666666665,3,5,True,False,0,0,0,0,0,12,21,249596000,True
PositionReport,247141500,ECO AUGUSTA,37.09585,13.94064,2026-03-22 12:39:14.951704723 +0000 UTC,204.2,22684,37.09585333333334,13.940641666666666,1,3,True,True,-128,0,0,0,0,12,511,247141500,True
PositionReport,238101840,STAR                ,38.21828,15.59873,2026-03-22 12:39:18.240528989 +0000 UTC,260.6,66214,38.21828333333334,15.598733333333334,1,0,True,False,-127,0,29,0,0,17,260,238101840,True
PositionReport,247234700,ACRUX               ,38.21692,15.24813,2026-03-22 12:39:26.513164342 +0000 UTC,92.8,33759,38.21691833333333,15.24813,1,0,True,False,-128,0,0,0,0,25,511,247234700,True
PositionReport,247042100,HELGA,38.00995,12.51116,2026-03-22 12:39:31.680238615 +0000 UTC,360,82698,38.009953333333335,12.511163333333334,3,5,False,True,-128,0,0,0,0,31,511,247042100,True
PositionReport,247320500,MARCO M             ,38.2171,15.24185,2026-03-22 12:39:34.095356909 +0000 UTC,163.1,34042,38.21710333333333,15.241845000000001,1,0,True,False,0,0,0,0,0,32,252,247320500,True
PositionReport,247387500,CARMEN M,38.0133,12.51083,2026-03-22 12:39:38.32750696 +0000 UTC,194,22684,38.01329833333333,12.510833333333332,1,0,True,False,0,0,0,0,0,35,46,247387500,True
PositionReport,247000300,PIETRO NOVELLI,38.01042,12.5098,2026-03-22 12:39:51.040745668 +0000 UTC,121.5,81898,38.010416666666664,12.509798333333332,3,5,True,False,0,0,0,0,0,50,322,247000300,True
PositionReport,247489400,CLAUDIA MORACE      ,38.20843,15.61777,2026-03-22 12:40:00.889773065 +0000 UTC,357.9,32799,38.20843,15.61777,1,0,True,False,0,0,29.1,0,0,59,0,247489400,True
PositionReport,247447400,DANIELA MORACE      ,38.21826,15.24129,2026-03-22 12:40:07.121876549 +0000 UTC,283,33032,38.21826166666666,15.241293333333335,1,0,True,False,-128,0,0,0,0,5,511,247447400,True
PositionReport,247447600,FERDINANDO MORACE   ,38.22296,15.26583,2026-03-22 12:40:07.801474091 +0000 UTC,37,65826,38.22296166666667,15.265833333333335,1,0,True,False,-127,0,28.4,0,0,7,42,247447600,True
PositionReport,238481940,INKA,38.01524,12.49887,2026-03-22 12:40:18.031166581 +0000 UTC,360,49164,38.01524166666666,12.498865,1,0,True,True,-5,0,0,0,0,17,511,238481940,True
PositionReport,247234700,ACRUX               ,38.21693,15.24813,2026-03-22 12:40:26.491450042 +0000 UTC,92.8,22688,38.216930000000005,15.248126666666668,1,0,True,False,-128,0,0,0,0,26,511,247234700,True
PositionReport,311015300,CHRYSANTHEMUM       ,38.23206,15.32295,2026-03-22 12:40:27.607458851 +0000 UTC,297,0,38.232060000000004,15.322953333333334,3,1,True,False,0,0,0.1,0,0,26,26,311015300,True
PositionReport,247536000,MARE JONIO          ,38.01142,12.51942,2026-03-22 12:40:28.163195297 +0000 UTC,149.7,84970,38.01141833333334,12.519423333333332,3,5,False,False,0,0,0,0,0,26,182,247536000,True
PositionReport,247443700,NEREA               ,38.2155,15.2449,2026-03-22 12:40:31.36399108 +0000 UTC,214.1,84938,38.21549666666667,15.2449,3,5,True,False,0,0,0,0,0,30,75,247443700,True
PositionReport,247342000,LAURANA             ,38.21637,15.24302,2026-03-22 12:40:32.632749408 +0000 UTC,175,84938,38.216366666666666,15.243021666666667,3,5,True,False,0,0,0,0,0,32,319,247342000,True
PositionReport,247320500,MARCO M             ,38.2171,15.24184,2026-03-22 12:40:34.083053063 +0000 UTC,163.1,22688,38.21710333333333,15.241835,1,0,True,False,0,0,0,0,0,31,251,247320500,True
PositionReport,247387500,CARMEN M,38.0133,12.51082,2026-03-22 12:40:38.318114554 +0000 UTC,194,2271,38.013295,12.510823333333333,1,0,True,False,0,0,0,0,0,35,46,247387500,True
PositionReport,247452900,PELLEGRON           ,38.01048,12.5083,2026-03-22 12:40:42.588111255 +0000 UTC,0,85242,38.01048,12.508296666666666,3,5,False,False,0,0,0,0,0,41,306,247452900,True
PositionReport,247387500,CARMEN M,38.01329,12.51082,2026-03-22 12:40:57.940390313 +0000 UTC,194,3347,38.01329166666667,12.510816666666667,3,0,True,False,0,0,0,0,0,54,46,247387500,True
PositionReport,247003800,SIMONE MARTINI      ,38.01018,12.50874,2026-03-22 12:41:03.40472909 +0000 UTC,250.5,84458,38.01018333333333,12.508738333333334,3,5,True,False,0,0,0,0,0,2,313,247003800,True
PositionReport,247447400,DANIELA MORACE      ,38.21826,15.24129,2026-03-22 12:41:07.109926201 +0000 UTC,283,22692,38.218264999999995,15.241291666666665,1,0,True,False,-128,0,0,0,0,4,511,247447400,True
PositionReport,247447600,FERDINANDO MORACE   ,38.23001,15.27034,2026-03-22 12:41:07.791583037 +0000 UTC,25.4,49204,38.230005,15.270341666666667,1,0,True,False,0,0,28.5,0,0,7,35,247447600,True
PositionReport,247489400,CLAUDIA MORACE      ,38.21865,15.61853,2026-03-22 12:41:15.131824322 +0000 UTC,4.8,22692,38.218645,15.618528333333334,1,0,True,False,-127,0,29.6,0,0,14,4,247489400,True
PositionReport,238481940,INKA,38.01522,12.49884,2026-03-22 12:41:18.083722895 +0000 UTC,360,33441,38.01522333333333,12.498843333333333,1,0,True,True,-10,0,0,0,0,17,511,238481940,True
PositionReport,247042100,HELGA,38.00996,12.51116,2026-03-22 12:41:29.605344942 +0000 UTC,360,81210,38.00996,12.511158333333332,3,5,False,True,-128,0,0,0,0,29,511,247042100,True
PositionReport,247320500,MARCO M             ,38.2171,15.24183,2026-03-22 12:41:34.073479144 +0000 UTC,163.1,2248,38.217105,15.241833333333334,1,0,True,False,0,0,0,0,0,32,251,247320500,True
PositionReport,247270600,DIVINA              ,38.36582,15.47083,2026-03-22 12:41:36.462181124 +0000 UTC,82,66899,38.36582166666667,15.470830000000001,1,0,True,False,8,0,12.6,0,0,36,88,247270600,True
PositionReport,238481940,INKA,38.01522,12.49884,2026-03-22 12:41:37.733077742 +0000 UTC,360,24883,38.01522166666667,12.49884,3,0,True,True,5,0,0,0,0,37,511,238481940,True
PositionReport,238101840,STAR                ,38.2116,15.57562,2026-03-22 12:41:38.271682117 +0000 UTC,241,82010,38.21160166666667,15.575619999999999,1,0,True,False,-127,0,30.3,0,0,37,241,238101840,True
PositionReport,247265400,CITTA' DI MILAZZO,38.21702,15.2477,2026-03-22 12:41:44.825629532 +0000 UTC,116,34446,38.21701666666667,15.2477,1,0,False,False,-128,0,0,0,0,42,511,247265400,True
PositionReport,247447600,FERDINANDO MORACE   ,38.23466,15.27268,2026-03-22 12:41:46.150977849 +0000 UTC,20,86205,38.234656666666666,15.272683333333333,3,0,True,False,0,0,28.5,0,0,45,29,247447600,True
PositionReport,238101840,STAR                ,38.21063,15.57368,2026-03-22 12:41:52.034999028 +0000 UTC,236.9,31619,38.210625,15.573675,3,0,True,False,0,0,30.1,0,0,50,237,238101840,True
